ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x23_AB_2,"(11, 23)",AldousBroder,Vertical,Q-Student,0.11,0.57,11,46,93
11x23_AB_2,"(11, 23)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,11,46,344
11x23_AB_3,"(11, 23)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,16,40,165
11x23_AB_3,"(11, 23)",AldousBroder,Vertical,Q-Student,0.11,0.57,16,40,73
11x23_AB_3,"(11, 23)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,16,40,306
11x23_BT_1,"(11, 23)",BinaryTree,Vertical,Q-Determinative,0.11,0.58,16,10,26
11x23_BT_1,"(11, 23)",BinaryTree,Vertical,Q-Student,0.11,0.58,16,10,13
11x23_BT_1,"(11, 23)",BinaryTree,Vertical,Q-Explorer,0.11,0.58,16,10,56
11x23_BT_2,"(11, 23)",BinaryTree,Vertical,Q-Determinative,0.11,0.58,21,16,66
11x23_BT_2,"(11, 23)",BinaryTree,Vertical,Q-Student,0.11,0.58,21,16,21
11x23_BT_2,"(11, 23)",BinaryTree,Vertical,Q-Explorer,0.11,0.58,21,16,120
11x23_BT_3,"(11, 23)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,15,16,60
11x23_BT_3,"(11, 23)",BinaryTree,Vertical,Q-Student,0.11,0.57,15,16,21
11x23_BT_3,"(11, 23)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,15,16,119
11x23_DFS_1,"(11, 23)",DFS,Vertical,Q-Determinative,0.16,0.57,7,26,97
11x23_DFS_1,"(11, 23)",DFS,Vertical,Q-Student,0.16,0.57,7,26,38
11x23_DFS_1,"(11, 23)",DFS,Vertical,Q-Explorer,0.16,0.57,7,26,174
11x23_DFS_2,"(11, 23)",DFS,Vertical,Q-Determinative,0.11,0.57,8,72,734
11x23_DFS_2,"(11, 23)",DFS,Vertical,Q-Student,0.11,0.57,8,72,474
11x23_DFS_2,"(11, 23)",DFS,Vertical,Q-Explorer,0.11,0.57,8,72,1037
11x23_DFS_3,"(11, 23)",DFS,Vertical,Q-Determinative,0.11,0.57,8,24,105
11x23_DFS_3,"(11, 23)",DFS,Vertical,Q-Student,0.11,0.57,8,24,36
11x23_DFS_3,"(11, 23)",DFS,Vertical,Q-Explorer,0.11,0.57,8,24,171
11x25_AB_1,"(11, 25)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,12,40,208
11x25_AB_1,"(11, 25)",AldousBroder,Vertical,Q-Student,0.11,0.57,12,40,72
11x25_AB_1,"(11, 25)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,12,40,271
11x25_AB_2,"(11, 25)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,14,18,73
11x25_AB_2,"(11, 25)",AldousBroder,Vertical,Q-Student,0.11,0.57,14,18,24
11x25_AB_2,"(11, 25)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,14,18,140
11x25_AB_3,"(11, 25)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,16,60,384
11x25_AB_3,"(11, 25)",AldousBroder,Vertical,Q-Student,0.11,0.57,16,60,167
11x25_AB_3,"(11, 25)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,16,60,623
11x25_BT_1,"(11, 25)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,15,18,49
11x25_BT_1,"(11, 25)",BinaryTree,Vertical,Q-Student,0.11,0.57,15,18,33
11x25_BT_1,"(11, 25)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,15,18,128
11x25_BT_2,"(11, 25)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,18,20,73
11x25_BT_2,"(11, 25)",BinaryTree,Vertical,Q-Student,0.11,0.57,18,20,27
11x25_BT_2,"(11, 25)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,18,20,177
11x25_BT_3,"(11, 25)",BinaryTree,Vertical,Q-Determinative,0.11,0.58,18,18,50
11x25_BT_3,"(11, 25)",BinaryTree,Vertical,Q-Student,0.11,0.58,18,18,479
11x25_BT_3,"(11, 25)",BinaryTree,Vertical,Q-Explorer,0.11,0.58,18,14,1215
11x25_DFS_1,"(11, 25)",DFS,Vertical,Q-Determinative,0.11,0.57,7,52,217
11x25_DFS_1,"(11, 25)",DFS,Vertical,Q-Student,0.11,0.57,7,52,106
11x25_DFS_1,"(11, 25)",DFS,Vertical,Q-Explorer,0.11,0.57,7,52,356
11x25_DFS_2,"(11, 25)",DFS,Vertical,Q-Determinative,0.11,0.57,6,78,463
11x25_DFS_2,"(11, 25)",DFS,Vertical,Q-Student,0.11,0.57,6,78,404
11x25_DFS_2,"(11, 25)",DFS,Vertical,Q-Explorer,0.11,0.57,6,78,1105
